TYPEANA;TYPEANA_LABEL
ACI_COM.ACI_COM1;COMMENTAIRES ATB ACI - Technique
ACI_COM.ACI_COM2;COMMENTAIRES ATB ACI - Com libre
ACI_COM.ACI_COM3;COMMENTAIRES ATB ACI - BLSE
ACI_COM.ACI_COM4;COMMENTAIRES ATB ACI - CARBA
AERC_COM.AERC_COM1;COMMENTAIRES ATB AERC - Technique
AERC_COM.AERC_COM2;COMMENTAIRES ATB AERC - Com libre
AERM_COM.AERM_COM1;COMMENTAIRES ATB AEROMONAS - Technique
AERM_COM.AERM_COM2;COMMENTAIRES ATB AEROMONAS - Com libre
AKN.AKN1;AMIKACINE - SIR
AKN.AKN2;AMIKACINE - CMI
AKN.AKN3;AMIKACINE - Diamètre
AMCA.AMCA1;AUGMENTIN AUTRES CONTEXTES - SIR
AMCA.AMCA2;AUGMENTIN AUTRES CONTEXTES - CMI
AMCA.AMCA3;AUGMENTIN AUTRES CONTEXTES - Diamètre
AMCC.AMCC1;AUGMENTIN CYSTITE - SIR
AMCC.AMCC2;AUGMENTIN CYSTITE - CMI
AMCC.AMCC3;AUGMENTIN CYSTITE - Diamètre
AMCFIX.AMCFIX1;ASSO AUGMENTIN/CEFIXIME - SIR
AMCFIX.AMCFIX2;ASSO AUGMENTIN/CEFIXIME - CMI
AMC30.AMC301;AUGMENTIN - SIR
AMC30.AMC302;AUGMENTIN - CMI
AMC30.AMC303;AUGMENTIN - Diamètre
AMP10.AMP101;AMOXICILLINE / AMPICILLINE - SIR
AMP10.AMP102;AMOXICILLINE / AMPICILLINE - CMI 
AMP10.AMP103;AMOXICILLINE / AMPICILLINE - Diamètre
AMX.AMX1;AMOXICILLINE - SIR
AMX.AMX2;AMOXICILLINE - CMI
AMX.AMX3;AMOXICILLINE - Diamètre
AMXM.AMXM1;AMOX MENINGITE - SIR
AMXM.AMXM2;AMOX MENINGITE - CMI
AMXM.AMXM3;AMOX MENINGITE - Diamètre
AMXVO.AMXVO1;AMOX VO - SIR
AMXVO.AMXVO2;AMOX VO - CMI
AMXVO.AMXVO3;AMOX VO - Diamètre
AM3.AM31;AMPI AUTRES CONTEXTES - SIR
AM3.AM32;AMPI AUTRES CONTEXTES - CMI
AM3.AM33;AMPI AUTRES CONTEXTES - Diamètre
AM4.AM41;AMPI PNEUMONIES - SIR
AM4.AM42;AMPI PNEUMONIES - CMI
AM4.AM43;AMPI PNEUMONIES - Diamètre
ANA_COM.ANA_COM1;COMMENTAIRES ATB ANA - Technique
ANA_COM.ANA_COM2;COMMENTAIRES ATB ANA - Com libre
ANI_MY.ANI_MY_CMI;Anidulafungine (AN) - CMI
ANI_MY.ANI_MY_FAC;Anidulafungine (AN) - Facturation
ANI_MY.ANI_MY_SIR;Anidulafungine (AN) - SIR
API2.API21;AMPICILLINE/AMOXICILLINE  - SIR
API2.API22;AMPICILLINE/AMOXICILLINE  - CMI
API2.API23;AMPICILLINE/AMOXICILLINE  - Diamètre
AP_MY.AP_MY_CMI;Amphotéricine B (AP) - CMI
AP_MY.AP_MY_FAC;Amphotéricine B (AP) - Facturation
