TYPEANA;TYPEANA_LABEL
AA.AAAILE;Alloisoleucine
AA.AAALA;Alanine
AA.AAARG;Arginine
AA.AAASP;Acide aspartique
AA.AACIT;Citrulline
AA.AACOM;Commentaire
AA.AACOMT;Texte
AA.AACYS;Cystine
AA.AAGLN;Glutamine
AA.AAGLU;Acide glutamique
AA.AAGLY;Glycocolle
AA.AAHIS;Histidine
AA.AAILE;Isoleucine
AA.AALEU;Leucine
AA.AALYS;Lysine
AA.AAMET;Méthionine
AA.AAORN;Ornithine
AA.AAPHE;Phenylalanine
AA.AAPRO;Proline
AA.AASER;Sérine
AA.AATAU;Taurine
AA.AATHR;Thréonine
AA.AATOT;TOTAL
AA.AATYR;Tyrosine
AA.AAVAL;Valine
AAEPO.AAEPOANNU;Annulé
AAEPO.AAEPOENVOI;Envoyé
AAEPO.AAEPORSULT;Résultat
AAL.AALALA;Alanine
AAL.AALARG;Arginine
AAL.AALASP;Acide aspartique
AAL.AALCIT;Citrulline
AAL.AALCOM;Commentaire
AAL.AALCOMT;Texte
AAL.AALCYS;Cystine
AAL.AALGLN;Glutamine
AAL.AALGLU;Acide glutamique
AAL.AALGLY;Glycocolle
AAL.AALHIS;Histidine
AAL.AALILE;Isoleucine
AAL.AALLEU;Leucine
AAL.AALLYS;Lysine
AAL.AALMET;Méthionine
AAL.AALORN;Ornithine
AAL.AALPHE;Phénylalanine
AAL.AALPRO;Proline
AAL.AALSER;Sérine
AAL.AALTAU;Taurine
AAL.AALTHR;Thréonine
AAL.AALTOT;TOTAL
AAL.AALTYR;Tyrosine
AAL.AALVAL;Valine
AAMSB.AAMSBALA;Alanine
AAMSB.AAMSBARG;Arginine
AAMSB.AAMSBASP;Acide aspartique
AAMSB.AAMSBCIT;Citrulline
AAMSB.AAMSBCOM;Commentaire
AAMSB.AAMSBCOMT;Texte
AAMSB.AAMSBGLU;Acide glutamique
AAMSB.AAMSBGLUT;Glutamine / Lysine
AAMSB.AAMSBGLY;Glycine
AAMSB.AAMSBLEU;Leucine / Isoleucine / Hydroxyproline
AAMSB.AAMSBMET;Méthionine
AAMSB.AAMSBORN;Ornithine
AAMSB.AAMSBPHE;Phenylalanine
AAMSB.AAMSBPHRTYR;Rapport Phenylalanine/Tyrosine
AAMSB.AAMSBPRO;Proline
AAMSB.AAMSBTRP;Tryptophane
AAMSB.AAMSBTYR;Tyrosine
AAMSB.AAMSBVAL;Valine
AAMSB.AAMSB3OMD;3-O-Methyl-DOPA
AAMSLCR.AAMSLCRAAD;L Alpha Aminoadipic acid
AAMSLCR.AAMSLCRAILE;Alloisoleucine
AAMSLCR.AAMSLCRALA;Alanine
AAMSLCR.AAMSLCRARG;Arginine
AAMSLCR.AAMSLCRASA;Arginosuccinate
AAMSLCR.AAMSLCRASN;Asparagine
AAMSLCR.AAMSLCRASP;Acide aspartique
AAMSLCR.AAMSLCRASPG;AspartylGlucosamine
AAMSLCR.AAMSLCRBALA;Béta Alanine
AAMSLCR.AAMSLCRCIT;Citrulline
AAMSLCR.AAMSLCRCOM;Commentaire
