CODEACTE;CODEACTE_LABEL
A001;Crâne : 2 incidences
A005;Hirtz
A026;Panoramique dentaire
A031;Film intra-buccal
A034;Un segment rachidien cervical : 2 incidences
A052;Un segment rachidien sacro-coccygien : 2 incidences
A067;Gril costal : 2 incidences et plus
A068;Sternum : 2 incidences et plus
A070;Articulations sterno-claviculaires : 2 incidences et plus
A071;Parties molles du cou, larynx, cavum : 2 incidences et plus
A073;Mammographie bilatérale
A074;Mammographie unilatérale
A076;Galactographie
A082;Radioscopie télévisée thoracique
A084;Ampliphotographie pulmonaire
A087;Œsophage isolé avec produit de contraste
A090;Transit du grêle
A091;Transit du grêle avec intubation duodénale
A092;Côlon avec lavement baryté simple incluant l'abdomen sans préparation
A093;Côlon avec lavement en double contraste incluant l'abdomen sans préparation
A095;Cholécystographie orale
A097;Cholangiographie transpariéto-hépatique
A098;Cholangiographie par voie jugulaire
A101;Cholangiographie peropératoire
A102;Cholangiographie par drain de Kehr
A103;Cholangiographie avec prise de pressions
A105;Transit œso-gastro-duodénal
A106;Urographie intraveineuse
A109;Cysto-urétrographie mictionnelle au cours d'une urographie intraveineuse
A112;Urétrocystographie rétrograde par ponction sus-pubienne
A114;Urétrocystographie rétrograde
A115;Vésiculodéférentographie bilatérale
A116;Urétéro-pyélographie rétrograde
A117;Hystérosalpingographie
A118;Exploration radiologique du contenu utérin (en cas de grossesse)
A119;Radiopelvimétrie
A120;Colpocystographie
A121;Génitographie
A122;Crâne : 1 incidence
A123;Étude du temps de transit de granules opaques
A124;Défécographie
A131;Fémur : 2 incidences
A133;Genou(x) : 2 incidences
A137;Gonométrie
A138;Jambe(s) : 2 incidences
A140;Cheville(s) : 2 incidences
A142;Cheville : épreuve statodynamique isolée (varus ou valgus)
A143;Pied(s) : 2 incidences
A145;Pied : épreuve statodynamique isolée
A146;Pied : incidences spéciales isolées (calcanéum, orteil, etc...)
A147;Podométrie
A148;Radiographie d'un membre inférieur ou des membres inférieurs en totalité chez l'enfant : 1 incidence
A149;Téléradiographie des membres inférieurs en totalité
A150;Radiomensuration des membres inférieurs
A153;Crâne : 3 incidences et plus
A179;Radiographie d'un membre ou des membres supérieurs en totalité chez l'enfant : 1 incidence
A180;Radiomensuration des membres supérieurs
A184;Cholangiographie et/ou pancréatographie par voie endoscopique
A189;Télécrâne à 3 mètres : 1 incidence
A283;Ventriculographie - Crâne, contenu et massif facial
A285;Opacification des voies lacrymales peropératoire
A286;Opacification des voies lacrymales
A291;Myélographie opaque cervicale
A294;Myélographie opaque totale
A298;Arthrographie articulaire postérieure
A300;Laryngographie
A302;Radiographie peropératoire - Crâne, contenu et massif facial
A303;Bronchographie
A308;Arthrographie de la hanche
A309;Arthrographie du genou
A310;Arthrographie de la cheville
A311;Angiographie peropératoire - Crâne, contenu et massif facial
A312;Arthrographie de l'épaule
A313;Arthrographie du coude
A314;Arthrographie du poignet
A319;Fistulographie
A322;Opacification d'un drain (mise en place chirurgicale)
A324;Échographie peropératoire - Crâne, contenu et massif facial
A342;Nucléolyse
A347;Embolisation artérielle - Cœur, cou, cage thoracique
A352;Fibrinolyse in situ - Cœur, cou, cage thoracique
A353;Chimiothérapie in situ - Cœur, cou, cage thoracique
A355;Angioplastie artérielle - Poumon et médiastin
A356;Embolisation artérielle - Poumon et médiastin
A357;Embolisation veineuse - Poumon et médiastin
A361;Fibrinolyse in situ - Poumon et médiastin
A362;Chimiothérapie in situ - Poumon et médiastin
A364;Télécrâne à 3 mètres : 2 incidences
A365;Angioplastie artérielle - Tractus digestif
A366;Angioplastie veineuse - Tractus digestif
A367;Embolisation artérielle - Tractus digestif
A368;Embolisation veineuse : varices œsophagiennes
A372;Drainage des voies biliaires : externes, internes
A374;Fibrinolyse in situ - Tractus digestif
A375;Chimiothérapie in situ - Tractus digestif
A378;Drainage de collection sous scanographie - Crâne, contenu et massif facial
A379;Télécrâne à 3 mètres : 3 incidences et plus
A380;Angioplastie artérielle - Tractus génito-urinaire
A381;Embolisation artérielle - Tractus génito-urinaire
A382;Embolisation veineuse - Tractus génito-urinaire
A388;Dilatation endo-urétrale
A389;Dilatation endo-urétérale
A390;Lithotritie extracorporelle du haut appareil urinaire
A391;Destruction de calculs des voies excrétrices urinaires par contact d'une sonde à ultra-sons
A392;Extraction de calculs sous néphrostomie
A393;Fibrinolyse in situ - Tractus génito-urinaire
A394;Chimiothérapie in situ - Tractus génito-urinaire
A396;Angioplastie d'une artère coronaire isolée
A398;Cathétérisme d'une veine sus-hépatique par voie transjugulaire avec cytoponction ou ponction biopsique du foie
A399;Articulations temporo-mandibulaires : minimum 4 incidences
A400;Angioplastie artérielle - Membres inférieurs
A402;Embolisation artérielle - Membres inférieurs
A403;Embolisation veineuse - Membres inférieurs
A404;Fibrinolyse in situ - Membres inférieurs
A405;Chimiothérapie in situ - Membres inférieurs
A407;Alcoolisation des relais sympathiques sous guidage d'imagerie - Poumon et médiastin
A410;Angioplastie artérielle - Membres supérieurs
A411;Angioplastie veineuse - Membres supérieurs
A412;Embolisation artérielle - Membres supérieurs
A413;Embolisation veineuse - Membres supérieurs
A414;Fibrinolyse in situ - Membres supérieurs
A415;Chimiothérapie in situ - Membres supérieurs
A419;Récupération d'un cathéter en position intravasculaire
A423;Cathétérisme artériel par sonde guidée : crosse aortique, 2 incidences - Crâne, contenu et massif facial
A424;Massif facial (contours orbitaires, maxillaires, os propres du nez, sinus, glandes salivaires) Oreille, Cavum, Selle turcique : 2 incidences
A426;Cathétérisme artériel par sonde guidée, sélectif : une branche de la carotide externe - Crâne, contenu et massif facial
A428;Cathétérisme artériel par sonde guidée : crosse aortique, 2 incidences - Rachis et contenu
A429;Cathétérisme artériel par sonde guidée : crosse aortique - Cœur, cou, cage thoracique
A432;Massif facial (contours orbitaires, maxillaires, os propres du nez, sinus, glandes salivaires) Oreille, Cavum, Selle turcique : 3 incidences
A433;Massif facial (contours orbitaires, maxillaires, os propres du nez, sinus, glandes salivaires) Oreille, Cavum, Selle turcique : plus de 3 incidences
A434;Cathétérisme artériel par sonde guidée : crosse aortique - Membres supérieurs
A445;Ventriculographie gauche par cathétérisme - Cœur, cou, cage thoracique
A446;Coronarographie : cathétérisme artériel par sonde guidée
A469;Charnière cervico-occipitale : 2 incidences
A476;Cathétérisme artériel par sonde guidée : sélectif - Membres inférieurs
A484;Sialographie unilatérale
A489;Sialographie bilatérale
A494;Tomographies classiques : 1 incidence et jusqu'à 5 coupes - Crâne, contenu et massif facial
A499;Tomographies classiques : 1 incidence et plus de 5 coupes - Crâne, contenu et massif facial
A501;Ponction directe artérielle, 2 vaisseaux : bi-humérale - Crâne, contenu et massif facial
A505;Tomographies classiques : 2 incidences et jusqu'à 10 coupes - Crâne, contenu et massif facial
A506;Tomographies classiques : 2 incidences et plus de 10 coupes - Crâne, contenu et massif facial
A507;Contrôle radioscopique peropératoire - Crâne, contenu et massif facial
A508;Cathétérisme artériel par sonde guidée, sélectif - 1 axe : tronc brachio-céphalique, carotide primitive, carotide interne, carotide externe, vertébrale et autres sélectives - Crâne, contenu et massif facial
A509;Cathétérisme artériel par sonde guidée, sélectif - 2 axes : tronc brachio-céphalique, carotide primitive, carotide interne, carotide externe, vertébrale et autres sélectives - Crâne, contenu et massif facial
