CODE;CODE_LABEL
E46;malnutrition protéino-énergétique, sans précision
E45;retard de développement après malnutrition protéino-énergétique
W90;exposition à d'autres rayonnements non ionisants
C12;tumeur maligne du sinus piriforme
E44;malnutrition protéino-énergétique légère ou modérée
C13;tumeur maligne de l'hypopharynx
A02;autres salmonelloses
A05;autres intoxications bactériennes d'origine alimentaire, non classées ailleurs
W92;exposition à une chaleur artificielle excessive
E43;malnutrition protéino-énergétique grave, sans précision
C10;tumeur maligne de l'oropharynx
Q80;ichtyose congénitale
W40;explosion d'autres matériaux
E42;kwashiorkor avec marasme
W91;exposition aux rayonnements, sans précision
R30;douleur à la miction
C11;tumeur maligne du rhinopharynx
S78;amputation traumatique de la hanche et de la cuisse
Y49;effets indésirables des médicaments psychotropes au cours de leur usage thérapeutique, non classés ailleurs
W94;exposition à une dépression et une hyperpression et à des changements de pression barométriques
F82;trouble spécifique du développement moteur
E41;marasme nutritionnel
W42;exposition au bruit
M99;lésions biomécaniques, non classées ailleurs
F83;troubles spécifiques mixtes du développement
W93;exposition à un froid artificiel excessif
E40;kwashiorkor
W41;exposition à un jet à haute pression
M22;lésion de la rotule
F80;troubles spécifiques du développement de la parole et du langage
W44;corps étranger pénétrant dans l'oeil ou un orifice naturel
F81;troubles spécifiques du développement des acquisitions scolaires
W43;exposition aux vibrations
A74;autres infections à Chlamydia
C51;tumeur maligne de la vulve
Q67;anomalies morphologiques congénitales de la tête, de la face, du rachis et du thorax
B38;coccidioïdomycose
D46;syndromes myélodysplasiques
W99;exposition à des facteurs propres à un environnement artificiel, autres et sans précision
R19;autres symptômes et signes relatifs à l'appareil digestif et à l'abdomen
B88;autres infestations
A08;infections virales intestinales et autres infections intestinales précisées
C01;tumeur maligne de la base de la langue
X43;intoxication accidentelle par d'autres substances pharmacologiques agissant sur le système nerveux autonome et exposition à ces substances
L50;urticaire
L27;dermite due à des substances prises par voie interne
X42;intoxication accidentelle par des narcotiques et psychodysleptiques [hallucinogènes] et exposition à ces produits, non classés ailleurs
X41;intoxication accidentelle par des anti-épileptiques, sédatifs, hypnotiques, antiparkinsoniens et psychotropes et exposition à ces produits, non classés ailleurs
D48;tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue
X40;intoxication accidentelle par des analgésiques, antipyrétiques et antirhumatismaux, non opiacés et exposition à ces produits
B76;ankylostomiase
C81;lymphome de Hodgkin
A38;scarlatine
N92;ménorragie, polyménorrhée et métrorragie
X46;intoxication accidentelle par des solvants organiques et des hydrocarbures halogénés et leurs émanations et exposition à ces produits
D47;autres tumeurs des tissus lymphoïde, hématopoïétique et apparentés à évolution imprévisible ou inconnue
G83;autres syndromes paralytiques
N91;aménorrhée, oligoménorrhée et hypoménorrhée
A56;autres infections à Chlamydia transmises par voie sexuelle
D44;tumeur des glandes endocrines à évolution imprévisible ou inconnue
E28;dysfonction ovarienne
X45;intoxication accidentelle par l'alcool et exposition à l'alcool
P72;autres anomalies endocriniennes transitoires du nouveau-né
N94;douleurs et autres affections des organes génitaux de la femme et du cycle menstruel
G82;paraplégie et tétraplégie
D45;polyglobulie essentielle
X44;intoxication accidentelle par d'autres médicaments et substances biologiques et exposition à ces produits, autres et sans précision
G81;hémiplégie
N93;autres saignements anormaux de l'utérus et du vagin
D42;tumeur des méninges à évolution imprévisible ou inconnue
G80;paralysie cérébrale
D43;tumeur de l'encéphale et du système nerveux central à évolution imprévisible ou inconnue
X49;intoxication accidentelle par des produits chimiques et substances nocives et exposition à ces produits, autres et sans précision
D40;tumeur des organes génitaux de l'homme à évolution imprévisible ou inconnue
N90;autres affections non inflammatoires de la vulve et du périnée
X48;intoxication accidentelle par des pesticides et exposition à ces produits
D41;tumeur des organes urinaires à évolution imprévisible ou inconnue
E90;anomalies nutritionnelles et métaboliques au cours de maladies classées ailleurs
L67;anomalies de la pigmentation et de la gaine capillaires
B01;varicelle
E79;anomalies du métabolisme de la purine et de la pyrimidine
I97;troubles de l'appareil circulatoire après un acte à visée diagnostique et thérapeutique, non classés ailleurs
B60;autres maladies dues à des protozoaires, non classées ailleurs
E78;anomalies du métabolisme des lipoprotéines et autres lipidémies
E77;anomalies du métabolisme des glycoprotéines
S64;lésion traumatique de nerfs au niveau du poignet et de la main
S54;lésion traumatique de nerfs au niveau de l'avant-bras
I95;hypotension
E76;anomalies du métabolisme des glucosaminoglycanes
E75;anomalies du métabolisme des sphingolipides et autres anomalies du stockage des lipides
E74;autres anomalies du métabolisme des hydrates de carbone
E73;intolérance au lactose
I99;troubles autres et non précisés de l'appareil circulatoire
Q37;fente labio-palatine
O03;avortement spontané
O07;échec d'une tentative d'avortement
B30;conjonctivite virale
E72;autres anomalies du métabolisme des acides aminés
P90;convulsions du nouveau-né
I98;autres troubles de l'appareil circulatoire au cours de maladies classées ailleurs
E71;anomalies du métabolisme des acides aminés à chaîne ramifiée et du métabolisme des acides gras
F50;troubles de l'alimentation
R63;symptômes et signes relatifs à l'absorption d'aliments et de liquides
B66;autres infections par douves [distomatoses]
Q35;fente palatine
S68;amputation traumatique du poignet et de la main
S61;plaie ouverte du poignet et de la main
C85;lymphome non hodgkinien, de types autres et non précisés
Q36;fente labiale
C84;lymphomes à cellules T/NK matures
A75;typhus
Y40;effets indésirables des antibiotiques systémiques au cours de leur usage thérapeutique
O35;soins maternels pour anomalie et lésion foetales, connues ou présumées
P92;problèmes alimentaires du nouveau-né
E63;autres carences nutritionnelles
G11;ataxie héréditaire
B06;rubéole
F11;troubles mentaux et du comportement liés à l'utilisation d'opiacés
T84;complications de prothèses, implants et greffes orthopédiques internes
E66;obésité et surpoids
F10;troubles mentaux et du comportement liés à l'utilisation d'alcool
H59;affections de l'oeil et de ses annexes après un acte à visée diagnostique et thérapeutique, non classées ailleurs
F12;troubles mentaux et du comportement liés à l'utilisation de dérivés du cannabis
Z57;difficultés liées à l'exposition professionnelle à des facteurs de risque
Z56;difficultés liées à l'emploi et au chômage
W88;exposition aux rayonnements ionisants
A80;poliomyélite aiguë
Y63;erreur de dosage au cours d'actes médicaux et chirurgicaux
F13;troubles mentaux et du comportement liés à l'utilisation de sédatifs ou d'hypnotiques
W89;exposition à une source lumineuse artificielle visible et aux ultraviolets
A33;tétanos du nouveau-né
A35;autres formes de tétanos
F84;troubles envahissants du développement
W86;exposition à d'autres formes précisées de courant électrique
F14;troubles mentaux et du comportement liés à l'utilisation de cocaïne
S51;plaie ouverte de l'avant-bras
W46;contact avec aiguille à usage médical
E89;anomalies endocriniennes et métaboliques après un acte à visée diagnostique et thérapeutique, non classées ailleurs
A20;peste
I82;autres embolies et thromboses veineuses
E88;autres anomalies métaboliques
M96;affections du système ostéo-articulaire et des muscles après un acte à visée diagnostique et thérapeutique, non classées ailleurs
W45;corps étranger ou objet pénétrant dans la peau
E87;autres déséquilibres hydro-électrolytiques et acido-basiques
M95;autres déformations du système ostéo-articulaire, des muscles et du tissu conjonctif
T16;corps étranger dans l'oreille
B15;hépatite aiguë A
T15;corps étranger dans la partie externe de l'oeil
D19;tumeur bénigne du tissu mésothélial
D15;tumeur bénigne des organes intrathoraciques, autres et non précisés
T18;corps étranger dans les voies digestives
N95;troubles de la ménopause et autres troubles de la périménopause
A96;fièvre hémorragique à arénavirus
E84;fibrose kystique
T17;corps étranger dans les voies respiratoires
N96;avortements à répétition
C45;mésothéliome
W49;exposition à des forces mécaniques, autres et sans précision
E83;anomalies du métabolisme des minéraux
Q17;autres malformations congénitales de l'oreille
M80;ostéoporose avec fracture pathologique
M81;ostéoporose sans fracture pathologique
N97;stérilité de la femme
N98;complications de la fécondation artificielle
C14;tumeur maligne de la lèvre, de la cavité buccale et du pharynx, de sièges autres et mal définis
E86;hypovolémie
J06;infections aiguës des voies respiratoires supérieures, à localisations multiples et non précisées
E85;amylose
T19;corps étranger dans les voies génito-urinaires
K38;autres maladies de l'appendice
L92;lésions granulomateuses de la peau et du tissu cellulaire sous-cutané
L93;lupus érythémateux
H30;choriorétinite
K36;autres formes d'appendicite
L90;affections atrophiques de la peau
C00;tumeur maligne de la lèvre
W31;contact avec des appareils, autres et sans précision
V86;occupant d'un véhicule spécial tout-terrain ou autre véhicule à moteur essentiellement conçu pour être utilisé hors d'une route, blessé dans un accident de transport
K37;appendicite, sans précision
C47;tumeur maligne des nerfs périphériques et du système nerveux autonome
C72;tumeur maligne de la moelle épinière, des nerfs crâniens et d'autres parties du système nerveux central
L91;affections hypertrophiques de la peau
C38;tumeur maligne du coeur, du médiastin et de la plèvre
M42;ostéochondrite vertébrale
M93;autres ostéochondropathies
A65;syphilis non vénérienne
Q03;hydrocéphalie congénitale
G91;hydrocéphalie
R20;troubles de la sensibilité cutanée
I52;autres cardiopathies au cours de maladies classées ailleurs
D37;tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue
B40;blastomycose
I51;complications de cardiopathies et maladies cardiaques mal définies
D38;tumeur de l'oreille moyenne et des organes respiratoires et intrathoraciques à évolution imprévisible ou inconnue
H21;autres affections de l'iris et du corps ciliaire
I50;insuffisance cardiaque
D39;tumeur des organes génitaux de la femme à évolution imprévisible ou inconnue
S30;lésion traumatique superficielle de l'abdomen, des lombes et du bassin
A69;autres infections à spirochètes
M85;autres anomalies de la densité et de la structure osseuses
H49;strabisme paralytique
A68;fièvres récurrentes [borrélioses]
J98;autres troubles respiratoires
I05;maladies rhumatismales de la valvule mitrale
K04;maladies de la pulpe et des tissus périapicaux
I49;autres arythmies cardiaques
D65;coagulation intravasculaire disséminée [syndrome de défibrination]
N02;hématurie récidivante et persistante
R31;hématurie, sans précision
D28;tumeur bénigne des organes génitaux de la femme, autres et non précisés
K05;gingivite et maladies périodontales
E11;diabète sucré de type 2
A15;tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique
J47;bronchectasie
I48;fibrillation et flutter auriculaires
D27;tumeur bénigne de l'ovaire
D66;carence héréditaire en facteur VIII
K06;autres affections de la gencive et de la crête alvéolaire édentée
E10;diabète sucré de type 1
V16;cycliste blessé dans une collision avec un autre véhicule sans moteur
Z99;dépendance envers des machines et appareils auxiliaires, non classée ailleurs
Z74;difficultés liées à une dépendance envers la personne qui donne les soins
D67;carence héréditaire en facteur IX
D26;autres tumeurs bénignes de l'utérus
C88;maladies immunoprolifératives malignes
V17;cycliste blessé dans une collision avec un objet fixe ou stationnaire
E12;diabète sucré de malnutrition
D25;léiomyome de l'utérus
D68;autres anomalies de la coagulation
V14;cycliste blessé dans une collision avec un véhicule lourd ou un autobus
D24;tumeur bénigne du sein
D53;autres anémies nutritionnelles
D69;purpura et autres affections hémorragiques
V15;cycliste blessé dans une collision avec un train ou un véhicule ferroviaire
D52;anémie par carence en acide folique
D23;autres tumeurs bénignes de la peau
D51;anémie par carence en vitamine B12
H10;conjonctivite
S99;lésions traumatiques de la cheville et du pied, autres et sans précision
S89;lésions traumatiques de la jambe, autres et sans précision
D22;naevus à mélanocytes
A67;pinta [caraté]
I20;angine de poitrine
I06;maladies rhumatismales de la valvule aortique
A66;pian
D01;carcinome in situ des organes digestifs, autres et non précisés
I21;infarctus aigu du myocarde
D00;carcinome in situ de la cavité buccale, de l'oesophage et de l'estomac
J02;pharyngite aiguë
J03;amygdalite aiguë
I22;infarctus du myocarde à répétition
I23;certaines complications récentes d'un infarctus aigu du myocarde
N72;affections inflammatoires du col de l'utérus
N88;autres affections non inflammatoires du col de l'utérus
I24;autres cardiopathies ischémiques aiguës
A70;infection à Chlamydia psittaci
J16;pneumopathie due à d'autres micro-organismes infectieux, non classée ailleurs
H53;troubles de la vision
Q30;malformations congénitales du nez
D05;carcinome in situ du sein
I25;cardiopathie ischémique chronique
D04;carcinome in situ de la peau
D03;mélanome in situ
H54;déficience visuelle incluant la cécité (binoculaire ou monoculaire)
D02;carcinome in situ de l'oreille moyenne et de l'appareil respiratoire
Q18;autres malformations congénitales de la face et du cou
I43;myocardiopathie au cours de maladies classées ailleurs
Z95;présence d'implants et de greffes cardiaques et vasculaires
K07;anomalies dento-faciales [y compris les malocclusions]
H13;affections de la conjonctive au cours de maladies classées ailleurs
I42;myocardiopathie
K08;autres affections des dents et du parodonte
I45;autres troubles de la conduction
K09;kystes de la région buccale, non classés ailleurs
I44;bloc de branche gauche et auriculoventriculaire
I47;tachycardie paroxystique
K03;autres maladies des tissus dentaires durs
I46;arrêt cardiaque
D29;tumeur bénigne des organes génitaux de l'homme
W85;exposition aux lignes électriques
F15;troubles mentaux et du comportement liés à l'utilisation d'autres stimulants, y compris la caféine
W87;exposition au courant électrique, sans précision
S50;lésion traumatique superficielle de l'avant-bras
K44;hernie diaphragmatique
S53;luxation, entorse et foulure des articulations et des ligaments du coude
F16;troubles mentaux et du comportement liés à l'utilisation d'hallucinogènes
U82;résistance aux antibiotiques bétalactamines [bétalactames]
U84;résistance aux autres antimicrobiens
F89;trouble du développement psychologique, sans précision
S52;fracture de l'avant-bras
F17;troubles mentaux et du comportement liés à l'utilisation de tabac
F18;troubles mentaux et du comportement liés à l'utilisation de solvants volatils
U83;résistance aux autres antibiotiques
F88;autres troubles du développement psychologique
S55;lésion traumatique de vaisseaux sanguins au niveau de l'avant-bras
F19;troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives
P26;hémorragie pulmonaire survenant pendant la période périnatale
P54;autres hémorragies du nouveau-né
A55;lymphogranulomatose vénérienne à Chlamydia
S57;écrasement de l'avant-bras
G14;syndrome postpoliomyélite
S56;lésion traumatique de muscles et de tendons au niveau de l'avant-bras
B16;hépatite aiguë B
S59;lésions traumatiques de l'avant-bras, autres et sans précision
O31;complications spécifiques à une grossesse multiple
O30;grossesse multiple
E80;anomalies du métabolisme de la porphyrine et de la bilirubine
S58;amputation traumatique de l'avant-bras
L88;pyodermite gangréneuse
B18;hépatite virale chronique
K72;insuffisance hépatique, non classée ailleurs
D60;aplasie médullaire acquise pure [érythroblastopénie]
D62;anémie posthémorragique aiguë
B17;autres hépatites virales aiguës
G10;chorée de Huntington
N89;autres affections non inflammatoires du vagin
D61;autres aplasies médullaires
D63;anémie au cours de maladies chroniques classées ailleurs
E14;diabète sucré, sans précision
G13;affections dégénératives systémiques affectant principalement le système nerveux central au cours d'affections classées ailleurs
J65;pneumoconiose associée à la tuberculose
J64;pneumoconiose, sans précision
D64;autres anémies
B19;hépatite virale, sans précision
H25;cataracte sénile
G12;amyotrophie spinale et syndromes apparentés
L82;kératose séborrhéique
L83;acanthosis nigricans
D20;tumeur bénigne des tissus mous du rétropéritoine et du péritoine
