CODEACTE;CODEACTE_LABEL
AGR+047;SÉANCE RÉÉDUC FCTNS NEUROMUSCUL POUR AFFECTION NEUROLOGIQUE CENTRALE DÉGÉNÉRATIVE
AGR+102;SÉANCE RÉÉDUC FCTNS NEUROMUSCUL POUR AFFECTION NEUROLOGIQUE CENTRALE, EN PHASE RÉCUPÉRATION
AGR+298;SÉANCE RÉÉDUC FCTNS NEUROMUSCUL POUR AFFECTION NEUROLOGIQUE CENTRALE, EN PHASE PRÉCOCE
AKQ+124;ÉVAL INITIALE TROUBLES RAISONNEMENT LOGIQUE & MATHÉMATIQUE
AKQ+172;ÉVAL INTERMÉDIAIRE TROUBLES RAISONNEMENT LOGIQUE & MATHÉMATIQUE
AKQ+219;ÉVAL FINALE TROUBLES RAISONNEMENT LOGIQUE & MATHÉMATIQUE
AKR+074;SÉANCE COLLECTIVE RÉÉDUC TROUBLES RAISONNEMENT LOGIQUE & MATHÉMATIQUE
AKR+229;SÉANCE INDIVIDUELLE RÉÉDUC TROUBLES RAISONNEMENT LOGIQUE & MATHÉMATIQUE
ALM+024;SÉANCE RESTAUR, DVPMT & COMPENS FCTN MNÉSIQUE PAR RÉALIS D'1 TÉCHE ÉLÉM
ALM+050;SÉANCE RESTAUR, DVPMT & COMPENS FCTN MNÉSIQUE PAR PLANIF & RÉALIS PLSRS TÉCHES ÉLÉM COMB & COORD
ALM+126;SÉANCE RESTAURATION, DÉVELOPPEMENT & COMPENSATION FONCTIONS COGNITIVES & FONCTIONS EXÉCUTIVES
ALM+139;SÉANCE RESTAUR, DVPMT & COMPENS FCTN MNÉSIQUE PAR RÉALIS PLSRS TÉCHES ÉLÉM COMB & COORD
ALM+167;SÉANCE RESTAUR, DVPMT & COMPENS FCTNS EXÉCUTIVES PAR RÉALIS PLSRS TÉCHES ÉLÉM COMB & COORD
ALM+172;SÉANCE RESTAUR, DVPMT & COMPENS FCTN EXÉCUTIVE PAR RÉALIS D'1 TÉCHE ÉLÉM
ALM+220;SÉANCE DVPMT D'1 CAPACITÉ SENSIT &/ MOT MBRE SUP PAR RÉALIS PLSRS TÉCHES ÉLÉM COMB & COORD
ALQ+001;ÉVAL PSYCHOLOGIQUE FONCTION COGNITIVE + MISE EN SITUATION
ALQ+011;ÉVAL PSYCHOLOGIQUE PERSONNALITÉ
ALQ+065;ÉVAL ANALYTIQUE INTERMÉDIAIRE / CIBLÉE FONCTION COGNITIVE
ALQ+105;ÉVAL CAPACITÉS COGNITIVES POUR CONDUITE D'1 VÉHICULE AUTOMOBILE
ALQ+110;ÉVAL ANALYTIQUE FINALE FONCTION COGNITIVE
ALQ+111;ÉVAL PSYCHOLOGIQUE D'1 FONCTION COGNITIVE
ALQ+114;ÉVAL COMPORTEMENTALE STRUCTURÉE
ALQ+137;ÉVAL GLOBALE INTERMÉDIAIRE PLUSIEURS FONCTIONS COGNITIVES
ALQ+176;ÉVAL PSYCHOLOGIQUE PLUSIEURS FONCTIONS COGNITIVES
ALQ+183;ÉVAL ANALYTIQUE INITIALE FONCTION COGNITIVE
ALQ+247;ÉVAL GLOBALE INITIALE PLUSIEURS FONCTIONS COGNITIVES
ALQ+250;ÉVAL GLOBALE FINALE PLUSIEURS FONCTIONS COGNITIVES
ALQ+285;ÉVAL PSYCHOLOGIQUE FONCTION COGNITIVE + SIMULATEUR
ALQ+402;ÉVAL CAPACITÉS COMMUNICATION PATIENT EN ÉTAT VÉGÉTATIF CHRONIQUE / EN ÉTAT PAUCIRELATIONNEL
ALR+004;SÉANCE RÉÉDUC ORIENTATION TEMPOROSPATIALE & APRAXIE CONSTRUCTIVE
ALR+073;SÉANCE RÉÉDUC &/ COMPENS NÉGLIGENCE SPATIALE UNILATÉRALE PAR EXÉCUT PLSRS TÉCHES ÉLÉM COMB & COORD
ALR+146;SÉANCE INDIV RÉADAPT &/ CONSERV FCTNS PSYCHOSOCIALES PAR ACTIVITÉS PHYSIQ &/ SPORTIVES
ALR+201;SÉANCE RÉÉDUC &/ COMPENSATION NÉGLIGENCE SPATIALE UNILATÉRALE PAR EXÉCUTION D'1 TÉCHE ÉLÉMENTAIRE
ALR+245;SÉANCE INDIV RÉADAPT &/ CONSERV FCTNS PSYCHOSOCIALES PAR ACTIVITÉS PHYSIQ &/ SPORTIVES
ALR+298;SÉANCE STIMULATION COGNITIVE, SENSORIELLE, SENSITIVE, MOTRICE, & SOCIALE D'1 PATIENT EN ÉVEIL COMA
ALT+044;ENTRETIEN PSYCHOLOGIQUE COLLECTIF
ALT+074;ENTRETIEN PSYCHOLOGIQUE INDIVIDUEL
ALT+076;SÉANCE D'ENTRAINEMENT À CONDUITE + MISE EN SITUATION SUR ROUTE
ALT+085;SÉANCE COLLECTIVE D'ENTRETIEN PSYCHOLOGIQUE Ã€ VISÉE THÉRAPEUTIQUE
ALT+097;SÉANCE D'ENTRETIEN PSYCHOLOGIQUE Ã€ VISÉE RÉADAPT COGNITIVE + SIMULATEUR
ALT+145;SÉANCE INDIVIDUELLE D'ENTRETIEN PSYCHOLOGIQUE Ã€ VISÉE RÉADAPT COGNITIVE
ALT+151;SÉANCE COLLECT D'ENTRETIEN PSYCHOL À VISÉE RÉADAPT COGNITIVE + MISE EN SITUATION
ALT+213;SÉANCE D'ENTRAINEMENT À CONDUITE + MISE EN SITUATION SIMULÉE
ALT+220;SÉANCE INDIVIDUELLE D'ENTRETIEN PSYCHOLOGIQUE Ã€ VISÉE THÉRAPEUTIQUE
ALT+236;SÉANCE INDIV D'ENTRETIEN PSYCHOL À VISÉE RÉADAPT COGNITIVE + MISE EN SITUATION
ALT+263;SÉANCE COLLECTIVE D'ENTRETIEN PSYCHOLOGIQUE Ã€ VISÉE RÉADAPT COGNITIVE
ALT+351;SÉANCE D'ENTRETIEN PSYCHOLOGIQUE THÉRAPIE FAMILIALE &/ D'ENTRETIEN PSYCHOLOGIQUE FAMILIAL
ANM+009;SÉANCE DVPMT D'1 FCTN SENSIT &/ MOT MBRE SUP PAR RÉALIS PLSRS TÂCHES ÉLÉM COMB & COORD
ANM+048;SÉANCE RESTAUR, DVPMT & COMPENS APRAXIES GESTUELLES PAR RÉALIS D'1 TÉCHE ÉLÉM
ANM+069;SÉANCE RESTAUR, DVPMT & COMPENS APRAXIES GEST PAR PLANIF & RÉALIS PLSRS TÉCHES ÉLÉM COMB & COORD
ANM+093;SÉANCE RESTAUR / ÉDUCATION ANALYTIQUE D'1 FCTN SENSIT &/ MOT MBRE SUP PAR RÉALIS D'1 TÉCHE ÉLÉM
ANM+201;SÉANCE RESTAUR, DVPMT & COMPENS APRAXIES GESTUELLES PAR RÉALIS PLSRS TÉCHES ÉLÉM COMB & COORD
ANQ+012;ÉVAL FINALE FONCTIONS SENSITIVES &/ MOTRICES MEMBRES INFÉRIEURS
ANQ+029;ÉVAL FINALE TROUBLES SENSORIELS, D'ORIGINE NEUROLOGIQUE CENTRALE / PÉRIPHÉRIQUE
ANQ+067;ÉVAL INITIALE FONCTIONS PSYCHOMOTRICES
ANQ+095;ÉVAL FINALE FONCTIONS PSYCHOMOTRICES
ANQ+105;ÉVAL INTERMÉDIAIRE FONCTIONS PSYCHOMOTRICES
ANQ+111;ÉVAL INITIALE FONCTIONS SENSITIVES &/ MOTRICES MEMBRES INFÉRIEURS,
ANQ+126;ÉVAL SENSIBILITÉ PEAU & ARTICULATIONS D'1 PATIENT DOULOUREUX
ANQ+134;ÉVAL INTERMÉD / ÉVAL CIBLÉE SUR 1 FCTN, FCTNS SENSIT &/ MOT MBRES INF
ANQ+149;ÉVAL INITIALE FONCTIONS SENSITIVES &/ MOTRICES MEMBRES SUPÉRIEURS, SANS BATTERIE TEST
ANQ+171;ÉVAL INITIALE FONCTIONS SENSITIVES &/ MOTRICES MEMBRES SUPÉRIEURS, + BATTERIE TESTS
ANQ+173;ÉVAL SENSIBILITÉ PEAU & ARTICULATIONS D'1 PATIENT INDOLORE
ANQ+174;ÉVAL FINALE FONCTIONS SENSITIVES &/ MOTRICES SANS BATTERIE TESTS
