GHM;GHM_LABEL
01C01S;Interventions pour affections du système nerveux, sauf craniotomie, avec CMAS
04C01S;Interventions pour affections de l'appareil respiratoire, avec CMAS
08C01S;Interventions pour affections de l'appareil musculosquelettique et du tissu conjonctif, avec CMAS non traumatiques
10C01S;Interventions pour affections endocriniennes, métaboliques et nutritionnelles, avec CMAS
11C01S;Interventions pour affections des reins et des voies urinaires, avec CMAS
12C01S;Interventions pour affections de l'appareil génital masculin, avec CMAS
13C01S;Interventions pour affections de l'appareil génital féminin, avec CMAS
16C01S;Interventions pour affections du sang et des organes hématopoïétiques, avec CMAS
17C01S;Interventions pour affections myéloprolifératives et tumeurs de siège imprécis ou diffus, avec CMAS
21C01S;Interventions pour traumatismes, allergies et empoisonnements, avec CMAS
26C01S;Interventions pour traumatismes multiples graves, avec CMAS non traumatiques
24C01Z;Libérations du canal carpien : séjours de moins de 2 jours
90C01Z;@Actes sans relation avec le diagnostic principal
14C02A;Césariennes sans complication significative
15C02A;Interventions majeures sur l'appareil digestif, groupes nouveau-nés 1 à 7, sans complication significative
14C02B;Césariennes avec autres complications
15C02B;Interventions majeures sur l'appareil digestif, groupes nouveau-nés 1 à 7, avec complications
14C02C;Césariennes avec complications majeures
02C02J;Interventions sur la rétine, en ambulatoire
09C02J;Greffes de peau et/ou parages de plaie pour ulcère cutané ou cellulite, en ambulatoire
18C02J;Interventions pour maladies infectieuses ou parasitaires, en ambulatoire
21C02J;Greffes de peau pour lésions autres que des brûlures, en ambulatoire
22C02J;Brûlures non étendues avec greffe cutanée, en ambulatoire
23C02J;Interventions chirurgicales avec autres motifs de recours aux services de santé, en ambulatoire
02C02V;Interventions sur la rétine, âge inférieur à 70 ans sans CMA
03C02V;Interventions majeures sur la tête et le cou sans CMA
04C02V;Interventions majeures sur le thorax sans CMA
07C02V;Interventions sur le foie, le pancréas et les veines porte ou cave sans CMA
09C02V;Greffes de peau et/ou parages de plaie pour ulcère cutané ou cellulite sans CMA
11C02V;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection tumorale, sans CMA
13C02V;Exentérations pelviennes, hystérectomies élargies ou vulvectomies, sans CMA
17C02V;Interventions majeures au cours de lymphomes ou de leucémies sans CMA
18C02V;Interventions pour maladies infectieuses ou parasitaires sans CMA
02C02W;Interventions sur la rétine, âge supérieur à 69 ans et/ou CMA
03C02W;Interventions majeures sur la tête et le cou avec CMA
04C02W;Interventions majeures sur le thorax avec CMA
07C02W;Interventions sur le foie, le pancréas et les veines porte ou cave avec CMA
09C02W;Greffes de peau et/ou parages de plaie pour ulcère cutané ou cellulite avec CMA
11C02W;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection tumorale, avec CMA
13C02W;Exentérations pelviennes, hystérectomies élargies ou vulvectomies, avec CMA
17C02W;Interventions majeures au cours de lymphomes ou de leucémies avec CMA
18C02W;Interventions pour maladies infectieuses ou parasitaires avec CMA
01C02Z;Craniotomies, âge inférieur à 18 ans
05C02Z;Chirurgie de remplacement valvulaire avec circulation extracorporelle et avec cathétérisme cardiaque ou coronarographie
06C02Z;Chirurgie majeure des malformations digestives
08C02Z;Interventions majeures multiples sur les genoux et/ou les hanches
10C02Z;Interventions sur l'hypophyse
12C02Z;Interventions pelviennes majeures chez l'homme
16C02Z;Interventions sur la rate
19C02Z;Interventions chirurgicales avec un diagnostic principal de maladie mentale
21C02Z;Greffes de peau pour lésions autres que des brûlures
22C02Z;Brûlures non étendues avec greffe cutanée
23C02Z;Interventions chirurgicales avec autres motifs de recours aux services de santé
