RECTYPE;RECTYPE_LABEL
@;
AJ;Action Juridique Std
AJ02;Protection de justice
AJ03;Sauvegarde de justice
ANEPHVSL;Certificat transport
ASSDIV;Texte DIVERS dossier MIDAS
ASS_FIC_INDIV;Fiche signalétique individuelle
ASSOC;Modèles des textes dossier MIDAS
CARDETT;CR Echocardiographie
CARDPM1;Compte-rendu de pace maker
CARDPM1UVE;Compte-rendu de pace maker
CARDPM2;Compte-rendu de pace maker
CARDVO2;CR VO2MAX
CASA;Compte Rendu Acte
CASAPARQ;CASA PARQUET
CCARDECHO;Compte-rendu d'échocardiographie
CCARD_SORTIE;Conclusion de sortie REA CARD
CGH;Cytg CGH
CONTERGMG;courrier au medecin traitant - patient contact ERG
CONTERGPAT;patient contact ERG - courrier patient
CONTERGTRANS;patient contact ERG - courrier pour transfert
CRAAA;Compte-rendu d'acte
CRAABanc;Compte-rendu d'acte
CRAAB;Compte-rendu d'acte
CRAAD;Compte-rendu d'acte v1
CRAADSAUVE;Compte-rendu d'acte
CRACCT1;Compte-rendu d'accouchement 1
CRACCT2;Compte-rendu d'accouchement 2
CRACCT3;Compte-rendu d'accouchement 3
CRACCT4;Compte-rendu d'accouchement 4
CRACJRAD;Courrier Principal Acte Radio STJulien
CRARESRADP;Compte-rendu radio v1
CRARESRADS;Compte-rendu radio
CRCOURT1;Compte-rendu initial court
CRDICNUMTP;CR Type  pour CR Acte sous dictée numérique
CRDICNUM1;CR Consultation (DN)
CR_EMED;CR_EMED
CRHAC;Compte-rendu de séjour
CRHAD;Compte-rendu de séjour
CRHAE;Compte-rendu de séjour
CRHAF;Compte-rendu de séjour
CRHAG;Compte-rendu de séjour
CRHAH;Compte-rendu de séjour
CRHAI;Compte-rendu de séjour
CRHAJ;Compte-rendu de séjour
CRHAK;Compte-rendu de séjour v1.
CRHAKO;Compte-rendu de séjour.
CRHAKSAUVE;Compte-rendu de séjour.
CRHCOURT1;Compte-rendu initial court
CRH2AA;Compte-rendu de séjour (aa)
CRH2AA2;Compte-rendu de séjour
CRH2AB;Lettre de liaison à la sortie du patient
CRH2ABold;Compte-rendu de séjour
CRH2ABSAUVE;Compte-rendu de séjour
CRO;Compte-rendu opératoire
CRO2;CRO
CRO2old;Compte-rendu opératoire
CRO3;Compte Rendu Bloc Opératoire
CRPROGETP;Synthèse du programme d'éducation thérapeutique
CRRAD;Compte-rendu radio 
CRRADP1;Compte-rendu Radio Pédiatrie
CRRADP1UVE;Compte-rendu Radio Pédiatrie
CRRADP2;Compte-rendu Radio Pédiatrie (i1)
CRRADP2UVE;Compte-rendu Radio Pédiatrie (i)
CRRADP3;Compte-rendu Radio Pédiatrie (i)
CRSTAFF;CR de STAFF de SERVICE
CRURGE;Compte-rendu passage URGENCES
CR2AAD;Compte-rendu d'acte v2
CR2AAE;Compte-rendu d'acte
CR2AAERR;Compte-rendu d'acte
CR2AAERR2;mauvais cpt acte
CR2AAESAUVE;Compte-rendu d'acte
CR2AAE2;Compte-rendu d'acte
CR2AAF;Compte-rendu d'acte
CR2AAFSAVE;Compte-rendu d'acte
CR2AATP;Test champ MAJ
CTDEFAUT;Courrier type par defaut
CTDEFAUTUVE;Courrier type par defaut
CTPRIVE;CT PRIVE
CTPUBACT;CT PUBLIC NIVEAU ACTE
CTPUB;CT PUBLIC
CTPUBSEJ;CT PUBLIC NIVEAU SEJOUR
CV;Condition de vie Std
CV202;demande AMCS
CV218;frais transport
CV310;demande APA
CV311;prestation de Compensation
CV312;PAP Hospitalisation
CYTGANEUF;cpte-rendu ANEUVYSION FILLE
CYTGANEUG;cpte-rendu ANEUVYSION GARCON
CYTGBB;Suivi bébé
CYTGBEUREN;cpte-rendu WILLIAMS BEUREN
CYTGCR;cpte-rendu standard CYTOGENETIQUE 1
CYTGCRI;cpte-rendu SYNDROME CRI DU CHAT
CYTGCRSAUV;Sauv Cytgcr
CYTGCRSTD;Compte-Rendu Std Cytogenetique
CYTGCRSTDN;New cytgcrstd
CYTGCRV2;cpte-rendu standard CYTOGENETIQUE
CYTGCRV3;cpte-rendu standard CYTG
CYTGCRYO;cpte-rendu de cryoconservation
CYTGDIGEOR;cpte-rendu DI-GEORGE CYTOGENETIQUE
CYTGFP1;feuille de paillasse CYTOGENETIQUE
CYTGPRADER;cpte-rendu WILLI PRADER
CYTGSMITH;cpte-rendu SMITH CYTOGENETIQUE
CYTGVYSIS;cpte-rendu VYSIS
CYTGWOLF;cpte-rendu WOLF HIRSCHHORN
CYTG1P36;cpte-rendu SONDE 1P36
CYTOARTI;FP ARTICULATIONS
CYTOCONCLU;CR DE LA CYTOLOGIE
CYTO;CR DE CYTO/HISTOLOGIE
CYTOCV;FP CYTOLOGIE CERVICO-VAGINALE
CYTODEV;CR DE CYTOLOGIE
CYTODEV2;CR DE CYTOLOGIE V2
CYTOGANG;FP GANGLIONS
CYTOLBA;FP LAVAGE BRONCHO-ALVELOLAIRE
CYTOLCR;FP LCR
CYTORESP;FP APPAREIL RESPIRATOIRE
CYTOSERE;FP SEREUSES
CYTOTEST;CR CYTOLOGIE 
CYTOTHYR;FP THYROIDE
CYTOURIN;FP URINES
CYTO1;courrier-type acte de Cytologie
CYTO2;CR acte de cytologie (v2)
DA;Demande Administrative Std
DA103;exonération ticket modérateur
DA106;congé de longue maladie
DA107;indemintés journalières
DA108;Demande carte handicapé
DA112;AEEH
DA117;Action sépécifique étranger
DA118;demande d entente préalable
DA119;demande de dérogation d age
DA123;CMU de base
DA124;CMU complémentaire
DA125;déclaration maladie contagieuse
DA127;aide départ complémentaire santé
DA129;fiche de liaison sociale
DA131;allocation adultes handicapés
DA132;alloc journ présence parentale
DA134;demande d orientation
DA135;Demande Acte de naissance
