SEJUF;SEJUF_LABEL
1195;DEP.INF.CHU RESEAU
1153;BUREAU PERSONNEL BG
1154;BUREAU PERSONNEL OIS
1133;REMPL.HORS SOIGNANTS
1012;MUSEE G.FLAUBERT
1025;ESP.REGIONAL ETHIQUE
1107;DOC.ADMINISTRATIVE
1161;SECRETAIRE ROULANTE
1177;GESTION SECRETARIATS
1222;AUMONERIE ST JULIEN
5400;H.G.E.POLICLINIQUE
7145;SSR JULES VERNE
7191;NEURO. MS CHARCOT
1221;AUMONERIE HCN
1223;AUMONERIE BG
6164;UNITE GYNECO SOCIALE
8015;PED.MED.URGENCES MED
8010;CHIR.INFANT.URGENCES
1910;DIR INVEST  BIOMED
7201;CX ROUGE M.S.PNEUMO.
1149;ENVOI A DOMICILE
1151;DRH CLM CLD
1156;MUTUELLE
1168;CRECHE PERSONNEL
1169;LOGEMENTS PERSO. CHR
1226;COMMUNAUTE BOUCICAUT
9995;LIQUIDATION DE PAIE
1850;PROSPECT & RECHERCHE
8946;RECHERCHE PHRC
8960;RECHERCHE AUTRE
8961;RECHERCHE INNOVATION
8962;RECHERCHE INSERM
1212;BIO NETTOYAGE SJ
1213;BIO NETTOYAGE BG
1216;BIO NETTOYAGE PME
9130;STOCK RADIO BG
9135;STOCK RADIO STJULIEN
9140;STOCK FILM PROD OISS
9145;STOCK RADIO LAT
9150;STOCK FILM CATHE
9155;MAGASIN IRM N 3 GIE
9200;CASSE DESTRUCT PERTE
9210;RETOUR UF NON IDENT
9250;RETOUR  FOURNISSEURS
2400;IBC LOGISTIQUE
8331;ANIDER ISNEAUVILLE
8332;ANIDER BG UDM BRETEQ
8333;ANIDER BG DIALYSE P
1116;REPROGRAPHIE
1118;COMMUNICATION
1328;AUDIOVISUEL
1329;VISIOCONFERENCES
1110;STRAT.CONTRACT.PART
1207;GHT BUDGET G
1160;FINANCES
2580;GIE MED NUCLEAIRE
8910;ANTENNE E.F.S.
8911;TRESORERIE
8915;CMP ST JULIEN
9603;PAYE OPERAT ORDRE G
9655;PAYE OP ORDRE GHT H
U032;UCPA PASA BOIS PETIT
1326;ATELIER CHAUFFAGE BG
9503;STOCK DIETETIQUE HCN
9511;STOCK BIOTOX
9513;PLAN BRONCHIOLITE
9999;MAG HORS STOCK CPAGE
1117;AFF.INTERNATIONALES
I001;A SAOUD COOP FAC ME
I002;BRESIL UNIFOR DGOS14
I005;C REFER MALAD PNEUMO
I007;CHINE REF JUME BAOJI
I010;CAMBODGE DGOS 2015
I013;HOP VIET TEP PHU SAN
9609;PAYE OP ORDRE BUD H
9623;REMBOURSEM EMPRUNT
1121;ACCUEIL CLIENTELE CN
1122;ACCUEIL ST JULIEN
1123;ACCUEIL CLIENTELE BG
1124;ACC.CLIENTELE OISSEL
1125;EAC LESCHEVIN
1126;ACC.CLIENTELE PME
1127;ACC.CLIENTELE PEDIAT
1239;ACC.CLIENT.HOTESSES
1181;DIR. SYSTEME INFO.
I017;HCN CREAT DS DGOS 12
I022;ALGER BATNA APCHI 16
1094;ANNUAIRE CARTES
1095;PROJ RENOUV INFRAST
1096;PRISE EN CHARGE AVC
1140;INGENIERIE BIOMED.
1142;ATELIER BIOMEDICAL
1172;MAGASIN TAG
1201;SALUBRITE HCN
1202;SALUBRITE ST JULIEN
1203;SALUBRITE BG
1204;SALUBRITE OISSEL
1211;BIO NETTOYAGE HCN
1593;PETIT MARCHE
5150;MEDECINE GERIA HCN
5200;MED.INT.GERIAT.AIGUE
1919;PLATEF REMPL CENTRAL
1128;PASS SOCIALE
1129;LA CHALOUPE
1130;LA PAUSE
1132;SERV SOCIAUX PED PME
1144;SERVICES SOCIAUX HCN
1145;SERV SOCIAUX OISSEL
1146;SERVICES SOCIAUX BG
1163;SERV SOC ST JULIEN
1217;BIO NETTOYAGE PEDIAT
1237;ARCHIVES MED AC
1238;COURRIER
1351;TRANSPORTS SANITAIRE
2310;GESTION PHARMACIE
9040;STOCK MAG CENTRAUX
9050;GEST STOCK PAPETERIE
9085;REGULARISATION STOCK
9100;STOCK RADIO DEVE
9110;STOCK RADIO PED
9120;STOCK RADIO UCSA
9125;STOCK RADIO CHIR MAX
7150;HOSP  DOMI  OISSEL
9652;USLD OISSEL BUDGET H
2313;PHARMACIE BG
1522;UNITE DIETETIQUE HCN
1523;UNITE DIETETIQUE SJ
1524;UNITE DIETETIQUE BG
1525;UNITE DIETETIQUE UCP
1526;PERS REEDUC POLE REA
2930;REEDUCATION BG
2934;REEDUCATION ST J
2935;REEDUCATION HCN
2936;REEDUCAT BOUCICAUT
2937;REEDUCATION OISSEL
2938;REEDUCATION UCSA
5600;PEDIATRIE NEONAT.REA
5601;UN.MOB.REA ET NEONAT
1514;PERSON REEDUC VISCER
1515;PERSON REEDUCAT OARC
1516;PERSON REEDUCAT FME
1517;PERS REEDUC TETE COU
9617;PAYE OP ORDRE BUDG P
5121;MED.INTERNE H.P.D.D.
1518;PERS REEDUC TH VAISS
1519;PERS REEDUC POLE MED
1520;PERS REED EHPAD USLD
5510;RHUMATOLOGIE
5640;DERMATOLOGIE
2830;ORTHO.TRAUMATO. KINE
6110;ORTHOPEDIE TRAUMATO.
6100;CHIR VASCULAIRE THOR
2240;MEDECINE DU SPORT
6180;ORL ADULTES
6190;ORL PEDIATRIQUE
9670;CSAPA BUDGET H
9650;EHPAD ST JULIEN H
9606;PAYE OP ORDRE BUD J
9654;EHPAD BOUCICAUT H
9651;USLD BOUCICAUT H
1030;C.P.P. NORD OUEST
1100;DIRECTION GENERALE
1101;SECRETARIAT CLIN
1119;TELEMEDECINE SANTE
1845;CENTRE APPEL MENINGO
1900;CME
I028;APCHI2016 SP LIBAN
I029;DAI ACTIV COMMERC
9653;USLD ST JULIEN H
9619;PAYE OP ORDRE BUDG N
7135;GERIATRIE OISSEL M.S
6400;CHIR. PLASTIQUE MAIN
5650;NEUROLOGIE
9205;PERIMES PHARMACIE CN
9260;PRETS  ETABLISSEMENT
9505;MAGASIN PHARM.CHIMIO
9506;MAGASIN FRS DELOCAL.
9615;CHARGES A VENT PHARM
I030;MADAGASCAR TOLIARA
I031;PROJET CHU QUEBEC
1825;GEST.RISQ.ASSO.SOINS
1920;DIR REFERENTS POLES
1090;INGE. ORGANISATION
1106;AFFAIRES MEDICALES
1108;INT STAGE EXTRA HOSP
6170;OPHTALMOLOGIE
8925;HORS CHU GH DU HAVRE
8930;HORS CHU PSY ROUVRAY
1750;DIRECTION DES SOINS
1752;DIR. SOINS ACT TRANS
1134;REMPLAC  SOIGNANTS
1139;SERVICE INF COMPENSA
1755;SOIGNANTS NUIT HCN
1761;S I C S NUIT
1770;SOINS DE CONFORT
1771;SOINS  DE CONFORT BG
1772;SOINS DE CONFORT SJ
1109;INTERNES DETACHEMENT
1113;RESIDENTS EN STAGE
1114;PM MIS A DISPOSITION
1870;FORM.MED.CONTINUE
8920;HORS CHU BECQUEREL
1634;PROMO KINE
1639;PROMO ERGOTHERAPEUTE
1649;PROM PSYCHOMOTRICIEN
1654;PROMO PUERICULTRICES
1664;PROMO INF ANESTHE
1669;PROMOTION I B O D E
1674;PROMO AS AP
1694;PROMO CADRES
1704;PROMO AMBULANCIERS
6200;NEUROCHIRURGIE
0401;UF PAIE JANVIER 2018
0411;UF PAIE JANVIER 2018
1150;RESSOURCES HUMAINES
1158;OEUVRES SOCIALES
1604;PROM PROFES SUSPENS
1614;PROMO INFIRMIERES
1714;PROMO RADIOLOGIE
1715;ETUDE PROMOTIONNELLE
7104;PROMOTION PROF EHPAD
1056;COORD  NATIONALE IDE
1060;ELECTION PROFESSION
1137;CONGES FORM PROF
1138;PERSONNEL EXTERIEUR
1141;FIPHFP
8963;RECHERCHE INDUSTRIE
1184;DSI DPT.RIF
1186;DSI DPT. PROJETS
1188;DSI CSU
1189;DPT APPL MED PARAM
1192;TRANSFOR NUMERIQUE
1846;RRAMU
1091;PROJET PACS
1093;PROJET EAI AES
6160;GYNECO-OBSTETRIQUE
6169;GYNECO-OBS.CRECHE
5520;CARDIOLOGIE
5500;HEPATO.GASTRO.ENTER.
6835;ALIMENT ENTERALE
5560;NEPHROLOGIE
5570;HEMODIALYSE
6210;UROLOGIE
6300;CHIRURGIE DIGESTIVE
7200;CX ROUGE GASTRO 3EME
7210;CX ROUGE GASTRO 4EME
7220;CX ROUGE NUTRITION
9665;CAMSP BUDGET H
1571;P.MED.BIBERON NUTRIT
5620;PEDIATRIE MEDICALE
1231;STANDARD ACCUEIL ORI
2673;BLOC LOC ROBOT NIV 2
2644;BLOC CHIR.INFANT.LOC
1242;ACC CLIENTELE ROBEC
1115;CONTROLE DE GESTION
6280;REA.CHIRURGICALE
9514;PLAN BLANC ST JULIEN
2671;BLOC LOCAL NIVEAU 3
1218;BIO NETTOYAGE ROBEC
2104;ANESTHESIO.BLOC AMBU
2600;BLOC URGENCE
1957;RENFORT COVID OARC
2179;ANESTH LOC SALLE HYB
1840;MISSION NRBC
1842;SSE SITUAT SANIT EXC
9512;PLAN BLANC HCN
9530;URG VITALE INTRAHOSP
2676;CELLULE PROG ROB N0
1159;FORM.INITIALES CONT.
1610;I.F.SOINS INFIRMIERS
1620;ECOLE SAGES FEMMES
1630;ECOLE MASSEURS
1635;INST.FORM.ERGOTHERA.
1645;INST.FORM.PSYCHOMOT.
1650;ECOLE PUERICULTRICES
1660;ECOLE INF.ANESTHE.
1665;ECOLE IBODE
1675;IFAS-INSTIT.FORM.AS.
1676;IFAP-FORM.AUX.PUERI
1690;I.F.CADRES DE SANTE
1710;ECOLE DE RADIOLOGIE
1725;IFA-FORM.AMBULANCIER
1726;IFA-FORM.AUXIL.AMBU
1730;ESP.FORM.PROF.SANTE
1731;SUBVENTION ERASMUS
9610;PAYE OP ORDRE BUD C
9660;ECOLES BUDGET H
1841;NRBC CESU ZONAL
2650;ROBOT SALLE POLYVAL.
1545;RESIDENCE AUBETTE
1546;RESIDENCE PILLORE
1547;RESIDENCE DEROCQUE
1103;DIRECTION HOPITAL BG
1276;ACCUEIL BG
1296;COORD    TRAJECTOIRE
1290;DIRECTION ST JULIEN
1295;MAISON MEDICALE SJ
1104;DIRECTION OISSEL
1263;CHAMBRE MORT.OISSEL
1105;DIRECTION BOUCICAUT
1360;GRANGES BG
1370;BUREAU DE DESSIN
9060;GEST STOCK SERV TECH
9065;GEST STOCK FUEL
9520;MAG SERV TECHNIQUES
9960;DEST LIQUIDATION IMM
1380;DEVELOPPEM.DURABLE
1102;AFFAIRES JURIDIQUES
1020;CULTURE
1224;AUMONERIE OISSEL
1200;DIRECTION HCN
