SEJUF;SEJUM;UM_PMSI
5010;URGP;5010
5015;URGP;5015
5099;UCSA;5099
5104;MINT;5104
5105;MINT;5105
5106;MINT;5106
5121;MINT;5121
5122;MINT;5122
5124;MINT;5124
5125;ALCO;5125
5126;ALCO;5126
5127;ALCO;5127
5128;MINT;5128
5131;MINT;5131
5133;INTB;5133
5135;INTB;5135
5136;INTB;5136
5152;GERI;5152
5154;GERA;5154
5156;GERA;5156
5170;OPHT;5170
5192;HEMA;5192
5201;JMEA;5201
5203;JMEP;5203
5204;JMEP;5204
5205;JMEP;5205
5210;JMEA;5210
5250;NUTR;5250
5251;NUTR;5251
5261;ANES;5261
5262;ALGO;5262
5300;SPAL;5300
5301;SPAL;5301
5350;DOUL;5350
5351;DOUL;5351
5365;MSEJ;5365
5401;DIGE;5401
5403;DIGE;5403
5405;DIGE;5405
5410;DIGE;5410
5420;PHYS;5420
5440;COBG;5440
5450;JPOL;5450
5451;JPOL;5451
5485;CYTO;5485
5501;DIGE;5501
5505;DIGE;5505
5506;DIGE;5506
5508;DIGE;5508
5511;RHUM;5511
5513;RHUM;5513
5522;CARD;5530
5523;CARD;5523
5525;CARD;5525
5526;CARD;5526
5527;CARD;5527
5530;CARD;5530
5532;CARD;5532
5533;PNM1;5533
5542;INFC;5542
5543;INFC;5543
5544;INFC;5544
5545;INFC;5545
5546;INFC;5546
5561;NEPH;5561
5562;NEPH;5562
5563;NEPH;5563
5572;NEPH;5572
5591;PNM1;5591
5592;PNM1;5592
5593;PNM1;5593
5594;PNM1;5594
5595;PNM1;5595
5596;PNM1;5596
5602;NNAT;5602
5603;NNAT;5603
5604;NNAT;5604
5605;NNAT;5605
5607;NNAT;5607
5612;PEDG;5612
5613;PEDG;5613
5614;PEDG;5614
5617;PEDE;5617
5618;PEDE;5618
5619;PEDE;5619
5621;PEDE;5621
5622;PEDE;5618
5623;PEDE;5619
5624;PEDE;5624
5627;PEDE;5627
5628;PEDE;5628
5629;PEDE;5629
5632;PNM1;5632
5635;PNM1;5635
5636;PNM1;5636
5637;NNAT;5637
5642;DERM;5642
5643;DERM;5643
5644;DERM;5644
5647;DERM;5647
5648;DERM;5648
5651;NEUX;5651
5652;NEUX;5652
5653;NEUX;5653
5654;NEUX;5654
5657;NEUX;5657
5659;REAP;5659
5661;REAP;5661
5670;ENEU;5670
5685;NNAT;5685
5701;URGE;5701
5705;URGE;5705
5709;URGE;5709
5712;REAM;5712
5713;REAM;5713
5714;REAM;5714
5715;REAM;5715
5716;REAM;5716
5717;URGE;5717
5718;REAM;5718
5720;URGE;5720
5751;UHAV;5751
5802;URGE;5802
5850;URGE;5850
5851;URGE;5851
5852;URGE;5852
5853;URGE;5853
5854;URGP;5854
5855;URGP;5855
5902;GENE;5902
6103;CTHX;6103
6104;CGCV;6104
6111;PLAS;6111
6112;ORTH;6112
6113;ORTH;6113
6115;ORTH;6115
6117;NEUC;6117
6119;ORTH;6119
6141;STOM;6141
6142;STOM;6142
6152;PEDC;6152
6153;PEDC;6153
6154;PEDC;6154
6155;REAC;6155
6159;ORLP;6159
6161;OBST;6161
6163;OBST;6163
6164;OBST;6164
6166;OBST;6166
6167;OBST;6167
6168;OBST;6168
6172;OPHT;6172
6182;ORLO;6182
6183;ORLO;6183
6185;STOM;6185
6191;ORLP;6191
6193;ORLP;6193
6194;ORLP;6194
6196;PEDC;6196
6197;ORLP;6197
6199;PEDC;6199
6202;NEUC;6202
6203;NEUC;6203
6204;REAC;6204
6206;REAC;6206
6207;NEUC;6207
6208;ORTH;6208
6212;UROL;6212
6213;UROL;6213
6215;UROL;6215
6220;UROL;6220
6241;CCARD;6241
6242;REAC;6242
6243;CCARD;6243
6244;REAC;6244
6245;CCARD;6241
6260;OBST;6260
6282;REAC;6282
6283;REAC;6283
6285;REAC;6285
6288;REAC;6288
6289;REAC;6289
6310;CGCD;6310
6311;CGCD;6311
6320;CGCD;6320
6330;CGCD;6330
6340;CGCD;6340
6410;ORTH;6410
6415;PLAS;6415
6430;ORTH;6430
6440;ORTH;6440
6510;AMBU;6510
6520;AMBU;6520
6530;AMBU;6530
6605;RADI;6605
6606;ANES;6606
6607;REAC;6607
6608;ENDO;6608
6612;ORLO;6612
6807;STOM;6807
6850;CCARD;6850
7133;MSEJ;7133
7136;CURO;7136
