SEJUM;SEJUM_LABEL
ALCO;ADDICTOLOGIE
ALGO;ALLERGOLOGIE
AMBU;CHIRURGIE AMBULATOIRE
ANES;ANESTHESIE
APAT;ANATOMIE PATHOLOGIQUE
BACT;MICROBIOLOGIE
BIOA;BIOCHIMIE A
BIOB;BIOCHIMIE MEDICALE
BOUC;BOUCICAUT
CARD;CARDIOLOGIE
CCARD;CHIRURGIE THORACIQUE CARDIOVASCULAIRE
CGCD;CHIRURGIE GENERALE ET DIGESTIVE
CGCV;CHIR. VASCULAIRE
COBG;CONSULTATIONS POLYVALENTES BG
CONV;CONVALESCENTS ET GERIATRIE
CTHX;CHIR.GENERALE THORACIQUE
CURO;GERIATRIE OISSEL
CYTO;CYTOLOGIE
DERM;DERMATOLOGIE
DIGE;HEPATO GASTRO ENTEROLOGIE NUTRITION
DOUL;CENTRE DE TRAITEMENT DE LA DOULEUR
EDDG;ENDOSCOPIE DISGESTIVE
ENDO;ENDOCRINO DIABETE MALADAIES METABOLIQUES
ENEU;NEUROPHYSIOLOGIE
GENE;GENETIQUE
GERA;GERIATRIE BG
GERI;GERIATRIE
HEMA;HEMATOLOGIE
HYGI;HYGIENE  HOSPITALIERE
IMMU;IMMUNOLOGIE
INFC;MALADIES INFECTIEUSES
INTA;MEDECINE INTERNE A
INTB;ENDOCRINO.MAL.METABOLIQUES
INTC;CLINIQUE MEDICALE A
IREM;IMAGERIE BG
JCHA;CCAA ST JULIEN
JDOM;SOINS INFIRMIERS A DOMICILE ST JULIEN
JLAB;LABORATOIRE ST JULIEN
JLSE;LONG SEJOUR ST JULIEN
JMEA;MEDECINE A  ST JULIEN        SJ
JMEP;MEDECINE POLY ST JULIEN        SJ
JPOL;POLICLINIQUE ST JULIEN
JRAD;RADIOLOGIE ST JULIEN
JRET;MAISON DE RETRAITE ST JULIEN
LABO;LABORATOIRE INDIFFERENCIE
MEDT;MEDECINE DU TRAVAIL
MINT;MEDECINE INTERNE
MSDI;MOYEN SEJOUR GASTROLOGIE CROIX ROUGE
MSEJ;GERIATRIE MOYEN SEJOUR
MSNUT;MOYEN SEJOUR NUTRITION CROIX ROUGE
MSPE;MOYEN SEJOUR PNEUMOLOGIE CX ROUGE
NEPH;NEPHROLOGIE
NEUC;NEUROCHIRURGIE
NEUX;NEUROLOGIE
NNAT;MEDECINE NEONATALE
NUTR;NUTRITION DOULEUR SOINS PALLIATIFS
OBST;GYNECOLOGIE-OBSTETRIQUE
OPHT;OPHTALMOLOGIE
ORLO;O.R.L  ADULTES
ORLP;O.R.L  ENFANTS
ORTH;CHIR.ORTHOPEDIQUE ET TRAUMATOLOGIQUE
PEDC;CHIRURGIE PEDIATRIQUE
PEDE;PEDIATRIE MEDICALE
PEDG;HEMATO ONCOLOGIE PEDIATRIQUE
PHAR;PHARMACOLOGIE
PHIE;PHARMACIE
PHYR;PHYSIOLOGIE  RESPIRATOIRE
PHYS;PHYSIOLOGIE DIGESTIVE
PLAS;CHIRURGIE PLASTIQUE ET DE LA MAIN
PNM1;CLINIQUE PNEUMOLOGIQUE HCN
PNM2;PNEUMOLOGIE BG
PSYC;PSYCHIATRIE
RADB;IMAGERIE BG
RADI;IMAGERIE CENTRALE
RADP;RADIOLOGIE PEDIATRIQUE
REAC;REANIMATION CHIRURGICALE
REAM;REANIMATION MEDICALE
REAP;REANIMATION PEDIATRIQUE
RHUM;RHUMATOLOGIE
SMUR;SMUR
SPAL;SOINS PALLIATIFS
STOM;STOMATOLOGIE
UCSA;UNITE CONSULTATION SOINS AMBULATOIRE
UHAV;UNITE HOSPITALISATION AVAL
URGE;URGENCES
URGP;URGENCES PEDIATRIQUES
UROL;UROLOGIE
MSNU;MOYEN SEJOUR NUTRITION CROIX ROUGE
CCAR;CHIRURGIE THORACIQUE CARDIOVASCULAIRE
